segment;pas;capteur;longueur;cote;rang_segment;collage_replie;capteur_appele_par_collage;capteur_appele_par_longueur
S001;31;alpha;31;+;1;31;;
S001;33;alpha;2;-;2;58;;
S001;38;alpha;5;+;3;77;;
S001;41;epsilon;41;+;1;41;;
S001;45;epsilon;4;-;2;33;;
S001;46;epsilon;1;+;3;77;;
S001;55;gamma;55;+;1;55;;
S001;56;gamma;1;-;2;43;delta;
S001;58;gamma;2;+;3;51;;
S001;60;beta;60;+;1;60;;
S001;61;beta;1;-;2;93;;
S001;62;alpha;24;-;4;104;;
S001;62;gamma;4;-;4;6;;
S001;63;alpha;1;+;5;25;;
S001;63;gamma;1;+;5;61;;
S001;63;beta;2;+;3;43;delta;
S001;64;beta;1;-;4;50;;
S001;65;beta;1;+;5;120;;
S001;67;beta;2;-;6;59;alpha;
S001;69;beta;2;+;7;84;delta;
S001;70;beta;1;-;8;79;;
S001;73;alpha;10;-;6;97;;
S001;74;gamma;11;-;6;15;;
S001;75;alpha;2;+;7;83;;
S001;75;gamma;1;+;7;24;;
S001;75;beta;5;+;9;33;;
S001;76;alpha;1;-;8;69;;
S001;76;beta;1;-;10;77;;
S001;77;alpha;1;+;9;56;;
S001;78;alpha;1;-;10;53;;
S001;80;epsilon;34;-;4;114;;
S001;80;gamma;5;-;8;118;;
S001;173;alpha;95;+;11;61;;
S001;182;epsilon;102;+;5;56;;
S001;197;alpha;24;-;12;28;;
S001;200;alpha;3;+;13;29;;
S001;201;gamma;121;+;9;11;;
S001;202;gamma;1;-;10;111;;
S001;203;gamma;1;+;11;95;;
S001;210;alpha;10;-;14;116;;
S001;210;gamma;7;-;12;68;alpha;
S001;212;gamma;2;+;13;47;;
S001;213;gamma;1;-;14;90;;
S001;216;gamma;3;+;15;14;;
S001;217;alpha;7;+;15;24;;
S001;218;alpha;1;-;16;114;;
S001;219;alpha;1;+;17;125;;
S001;225;alpha;6;-;18;113;;
S001;227;epsilon;45;-;6;57;;
S001;237;alpha;12;+;19;9;;
S001;237;epsilon;10;+;7;122;;
S001;240;alpha;3;-;20;93;;
S001;240;epsilon;3;-;8;80;;
S001;242;alpha;2;+;21;43;delta;
S001;242;epsilon;2;+;9;40;;
S001;244;beta;168;+;11;79;;
S001;245;beta;1;-;12;29;;
S001;246;alpha;4;-;22;53;;
S001;246;epsilon;4;-;10;23;;
S001;248;alpha;2;+;23;24;;
S001;248;epsilon;2;+;11;105;;
S001;250;alpha;2;-;24;115;;
S001;250;epsilon;2;-;12;36;epsilon;
S001;257;alpha;7;+;25;14;;
S001;257;epsilon;7;+;13;113;;
S001;257;beta;12;+;13;118;;
S001;258;alpha;1;-;26;14;;
S001;258;epsilon;1;-;14;115;;
S001;258;beta;1;-;14;38;;
S001;259;alpha;1;+;27;14;;
S001;259;epsilon;1;+;15;8;;
S001;259;beta;1;+;15;0;;
S001;266;alpha;7;-;28;20;beta;
S001;266;epsilon;7;-;16;87;;
S001;267;gamma;51;-;16;54;;
S001;267;beta;8;-;16;8;;
S001;271;gamma;4;+;17;36;epsilon;
S001;273;gamma;2;-;18;108;gamma;
S001;293;alpha;27;+;29;122;;gamma
S001;297;alpha;4;-;30;81;;
S001;303;alpha;6;+;31;54;;
S001;305;epsilon;39;+;17;103;;
S001;305;beta;38;+;17;76;;
S001;306;gamma;33;+;19;38;;
S001;308;gamma;2;-;20;1;;
S001;309;alpha;6;-;32;38;;
S001;309;epsilon;4;-;18;18;epsilon;
S001;309;beta;4;-;18;2;;
S001;316;alpha;7;+;33;6;;
S001;316;epsilon;7;+;19;60;;
S001;316;beta;7;+;19;27;gamma;
S001;317;beta;1;-;20;17;alpha;
S001;318;alpha;2;-;34;62;;
S001;318;epsilon;2;-;20;94;;
S001;332;alpha;14;+;35;118;;
S001;332;epsilon;14;+;21;16;;
S001;333;gamma;25;+;21;125;;
S001;333;beta;16;+;21;65;;
S001;334;gamma;1;-;22;108;gamma;
S001;334;beta;1;-;22;16;;
S001;335;gamma;1;+;23;65;;
S001;335;beta;1;+;23;34;;
S001;351;delta;351;+;1;97;;
S001;385;alpha;53;-;36;42;;
S001;387;alpha;2;+;37;41;;
S001;394;alpha;7;-;38;36;epsilon;
S001;395;alpha;1;+;39;107;beta;
S001;403;alpha;8;-;40;62;;
S001;407;alpha;4;+;41;116;;
S001;408;alpha;1;-;42;18;epsilon;
S001;409;epsilon;77;-;22;26;;
S001;410;epsilon;1;+;23;7;;
S001;411;epsilon;1;-;24;71;;
S001;422;alpha;14;+;43;36;epsilon;
S001;422;epsilon;11;+;25;126;;
S001;423;alpha;1;-;44;107;beta;
S001;423;epsilon;1;-;26;118;;
S001;428;gamma;93;-;24;116;;
S001;431;gamma;3;+;25;20;beta;
S001;432;gamma;1;-;26;74;;
S001;441;beta;106;-;24;70;;delta
S001;441;delta;90;-;2;11;;
S001;444;delta;3;+;3;113;;
S001;447;delta;3;-;4;117;;
S001;448;delta;1;+;5;28;;
S001;452;alpha;29;+;45;61;;
S001;452;beta;11;+;25;26;;
S001;459;alpha;7;-;46;109;epsilon;
S001;459;beta;7;-;26;13;;
S001;460;alpha;1;+;47;75;;
S001;462;alpha;2;-;48;117;;
S001;465;alpha;3;+;49;30;;
S001;467;beta;8;+;27;11;;
S001;468;epsilon;45;+;27;34;;
S001;469;epsilon;1;-;28;87;;
S001;470;beta;3;-;28;113;;
S001;471;alpha;6;-;50;52;;
S001;471;delta;23;-;6;29;;
S001;509;alpha;38;+;51;31;;
S001;510;alpha;1;-;52;57;;
