famille;capteur;h;issue;designe;n;segments;obs;ref;ecart;z
F01;alpha;1;bas;False;1878;50;0.06070287539936102;0.07145358083522452;-0.010750705435863482;-2.1829751808927043
F01;alpha;1;rap;False;1878;50;0.6054313099041534;0.5884007983960854;0.017030511508068006;1.5858368606534787
F01;alpha;3;bas;False;1876;50;0.13113006396588486;0.17306594844473724;-0.04193588447885239;-6.114624053186197
F01;alpha;3;rap;False;1876;50;0.6545842217484008;0.6269392731341141;0.027644948614286673;2.948251105315675
F01;alpha;9;bas;False;1866;50;0.3317256162915327;0.40363870605271285;-0.07191308976118009;-7.101961752806813
F01;alpha;9;rap;False;1866;50;0.6661307609860665;0.6525127817303669;0.013617979255699585;1.6884976306393955
F01;alpha;27;bas;False;1847;50;0.7958852192744992;0.8252592909953842;-0.029374071720885107;-3.1527765615590218
F01;alpha;27;rap;False;1847;50;0.6432051976177585;0.6358454580861838;0.007359739531574733;0.8404796183896128
F01;beta;1;bas;False;1878;50;0.04206602768903089;0.03984564892071509;0.002220378768315793;0.533834874491616
F01;beta;1;rap;False;1878;50;0.5239616613418531;0.523487583801495;0.00047407754035805663;0.04166190849954014
F01;beta;3;bas;False;1876;50;0.09861407249466951;0.09119226067344459;0.007421811821224927;1.2602385972040637
F01;beta;3;rap;False;1876;50;0.5362473347547975;0.5325769631601898;0.00367037159460766;0.3305538178320111
F01;beta;9;bas;False;1866;50;0.1714898177920686;0.18726240323450874;-0.015772585442440142;-2.2092275940729422
F01;beta;9;rap;False;1866;50;0.560021436227224;0.540495862314942;0.019525573912282077;1.8605946411284382
F01;beta;27;bas;False;1847;50;0.331348132106118;0.35180837410723886;-0.020460242001120878;-2.1504813153109166
F01;beta;27;rap;False;1847;50;0.5744450460205739;0.5475353172332978;0.026909728787276096;2.7940550347461697
F01;gamma;1;bas;False;1878;50;0.04739084132055378;0.04970635029291862;-0.0023155089723648436;-0.5188707535424784
F01;gamma;1;rap;False;1878;50;0.5351437699680511;0.5323524381329439;0.0027913318351072886;0.24836228316039818
F01;gamma;3;bas;False;1876;50;0.1044776119402985;0.11452897758896667;-0.010051365648668173;-1.6405777692383778
F01;gamma;3;rap;False;1876;50;0.5490405117270789;0.5410952569330172;0.007945254794061732;0.7276318833193345
F01;gamma;9;bas;False;1866;50;0.22615219721329047;0.23530539721379556;-0.00915320000050512;-1.1452795626386554
F01;gamma;9;rap;False;1866;50;0.5803858520900321;0.5467222163409121;0.03366363574912009;3.2994102988227234
F01;gamma;27;bas;False;1847;50;0.4390904168922577;0.4395870424132503;-0.0004966255209926104;-0.0494874246923455
F01;gamma;27;rap;False;1847;50;0.57877639415268;0.5492266332502549;0.029549760902425108;3.1992536843569197
F01;delta;1;bas;False;1878;50;0.03194888178913738;0.028734084231799253;0.003214797557338124;0.8742071037133244
F01;delta;1;rap;False;1878;50;0.5207667731629393;0.514055283540368;0.00671148962257126;0.5858019828429896
F01;delta;3;bas;False;1876;50;0.0708955223880597;0.06446707050245118;0.006428451885608515;1.246937190308229
F01;delta;3;rap;False;1876;50;0.5245202558635395;0.5221353301731383;0.002384925690401223;0.21018952111641448
F01;delta;9;bas;False;1866;50;0.14362272240085744;0.12881949905209641;0.01480322334876103;2.2912852828554544
F01;delta;9;rap;False;1866;50;0.5332261521972133;0.5287582584153898;0.004467893781823441;0.40419123477554575
F01;delta;27;bas;False;1847;50;0.23280996210070384;0.2377182120698244;-0.00490824996912058;-0.6503626641597173
F01;delta;27;rap;False;1847;50;0.5452084461288577;0.5374136057390385;0.007794840389819063;0.7462937876831448
F01;epsilon;1;bas;False;1878;50;0.06549520766773163;0.0649535730686564;0.0005416345990752311;0.10680511280405738
F01;epsilon;1;rap;False;1878;50;0.5537806176783813;0.5501399210060659;0.0036406966723153042;0.3292658556610461
F01;epsilon;3;bas;False;1876;50;0.1337953091684435;0.14870886421236454;-0.014913555043921048;-2.2393871286813467
F01;epsilon;3;rap;False;1876;50;0.5836886993603412;0.568678157333805;0.015010542026536152;1.435879688654532
F01;epsilon;9;bas;False;1866;50;0.27116827438370844;0.3088413866273967;-0.03767311224368828;-4.251646832650436
F01;epsilon;9;rap;False;1866;50;0.6077170418006431;0.5874395833726237;0.02027745842801952;2.2033088900025297
F01;epsilon;27;bas;False;1847;50;0.5825663237682729;0.6020056611694968;-0.019439337401223902;-1.8032593410550393
F01;epsilon;27;rap;False;1847;50;0.6063887384948565;0.5900453616202053;0.016343376874651195;1.9895338768741078
F02;alpha;1;bas;False;1966;50;0.05849440488301119;0.06762219512730433;-0.009127790244293133;-1.9072858719299761
F02;alpha;1;rap;False;1966;50;0.6276703967446592;0.5978163339915409;0.02985406275311821;2.910690922259276
F02;alpha;3;bas;False;1962;50;0.14984709480122324;0.16580587501876046;-0.015958780217537206;-2.251462602120301
F02;alpha;3;rap;False;1962;50;0.6676860346585117;0.6402332007490691;0.02745283390944261;3.0121338316955653
F02;alpha;9;bas;False;1956;50;0.3553169734151329;0.39556904542234245;-0.04025207200720952;-3.976720116125195
F02;alpha;9;rap;False;1956;50;0.6814928425357873;0.6687548579557548;0.012737984580032452;1.6083065708341047
F02;alpha;27;bas;False;1935;50;0.8118863049095607;0.822959574690272;-0.011073269780711369;-1.2607219261764429
F02;alpha;27;rap;False;1935;50;0.655297157622739;0.650355569225536;0.0049415883972031525;0.5835959594008396
F02;beta;1;bas;False;1966;50;0.04628687690742624;0.03845081297650496;0.007836063930921285;1.7823926270160688
F02;beta;1;rap;False;1966;50;0.5264496439471007;0.5247204789619556;0.0017291649851450687;0.155657700273655
F02;beta;3;bas;False;1962;50;0.09327217125382263;0.08841305489080264;0.004859116363019982;0.848452977075939
F02;beta;3;rap;False;1962;50;0.5540265035677879;0.5340387650309242;0.019987738536863774;1.84650210485889
F02;beta;9;bas;False;1956;50;0.1738241308793456;0.183115900829652;-0.009291769950306434;-1.3150517925946181
F02;beta;9;rap;False;1956;50;0.5613496932515337;0.5420090933234278;0.01934059992810578;1.8714563760273202
F02;beta;27;bas;False;1935;50;0.3395348837209302;0.3502809567555831;-0.010746073034652902;-1.160567275237281
F02;beta;27;rap;False;1935;50;0.579328165374677;0.5459526891834733;0.03337547619120381;3.5811531995847052
F02;gamma;1;bas;False;1966;50;0.04170905391658189;0.04850359433582207;-0.006794540419240176;-1.6117618511540652
F02;gamma;1;rap;False;1966;50;0.5508646998982706;0.533161697663278;0.017703002234992608;1.609257319690704
F02;gamma;3;bas;False;1962;50;0.10550458715596331;0.1118514500240814;-0.006346862868118091;-1.0442185150059764
F02;gamma;3;rap;False;1962;50;0.5744138634046891;0.5440749320304222;0.030338931374266926;2.850702168869209
F02;gamma;9;bas;False;1956;50;0.22188139059304704;0.23103142580400826;-0.009150035210961227;-1.155646484826544
F02;gamma;9;rap;False;1956;50;0.5685071574642127;0.552667198454094;0.015839959010118775;1.590405953871363
F02;gamma;27;bas;False;1935;50;0.42997416020671836;0.4392329921311153;-0.009258831924396962;-0.9419899690323847
F02;gamma;27;rap;False;1935;50;0.5746770025839794;0.5510046484722905;0.02367235411168886;2.6685996647799675
F02;delta;1;bas;False;1966;50;0.024923702950152594;0.025226505927765975;-0.00030280297761337916;-0.0924232094014166
F02;delta;1;rap;False;1966;50;0.5188199389623601;0.5181282060339284;0.0006917329284317219;0.061937795182479896
F02;delta;3;bas;False;1962;50;0.05759429153924567;0.05750768367392394;8.6607865321726e-05;0.01821403966664287
F02;delta;3;rap;False;1962;50;0.5382262996941896;0.5261758813259859;0.012050418368203676;1.0906157489343
F02;delta;9;bas;False;1956;50;0.11554192229038855;0.11772537955072639;-0.0021834572603378426;-0.36057687600941046
F02;delta;9;rap;False;1956;50;0.558282208588957;0.5353058565686352;0.02297635202032199;2.1079221499064444
F02;delta;27;bas;False;1935;50;0.22428940568475453;0.22077758003729128;0.0035118256474632025;0.4605115643695883
F02;delta;27;rap;False;1935;50;0.5571059431524548;0.5485206605410666;0.008585282611388096;0.8296077873319012
F02;epsilon;1;bas;False;1966;50;0.06408952187182096;0.0631415406605629;0.0009479812112580532;0.19008463516856017
F02;epsilon;1;rap;False;1966;50;0.5793489318413021;0.5531102119673805;0.026238719873921647;2.436542463583909
F02;epsilon;3;bas;False;1962;50;0.1325178389398573;0.1471057848391258;-0.014587945899268541;-2.2300267661744004
F02;epsilon;3;rap;False;1962;50;0.5851172273190621;0.5715779240246139;0.013539303294448166;1.3325757567145022
F02;epsilon;9;bas;False;1956;50;0.2847648261758691;0.30773290851886176;-0.022968082342992652;-2.655527867374187
F02;epsilon;9;rap;False;1956;50;0.6104294478527608;0.5893940773424492;0.021035370510311468;2.343105935193622
F02;epsilon;27;bas;False;1935;50;0.5813953488372093;0.6056503341417879;-0.02425498530457862;-2.31566632371242
F02;epsilon;27;rap;False;1935;50;0.6031007751937985;0.5888438134199178;0.014256961773880633;1.6652253767045244
F03;alpha;1;bas;False;1930;50;0.050259067357512954;0.06567476574655148;-0.015415698389038529;-3.4033673870236454
F03;alpha;1;rap;False;1930;50;0.6041450777202072;0.6004773580363647;0.0036677196838424617;0.3500535803114898
F03;alpha;3;bas;False;1926;50;0.14434060228452752;0.1645923546041002;-0.020251752319572724;-2.866782267041126
F03;alpha;3;rap;False;1926;50;0.6505711318795431;0.6432652374737723;0.007305894405770695;0.7889996414850454
F03;alpha;9;bas;False;1915;50;0.35352480417754567;0.3933778721101165;-0.03985306793257081;-3.9930722238372236
F03;alpha;9;rap;False;1915;50;0.6809399477806789;0.6701916442441888;0.010748303536490072;1.3527556916354684
F03;alpha;27;bas;False;1894;50;0.8004223864836325;0.823146471736949;-0.02272408525331653;-2.5167879639110793
F03;alpha;27;rap;False;1894;50;0.6626187961985216;0.6519963397332218;0.010622456465299867;1.2454927732109022
F03;beta;1;bas;False;1930;50;0.0383419689119171;0.03563013841290773;0.0027118304990093717;0.6744355650536302
F03;beta;1;rap;False;1930;50;0.5352331606217616;0.5268934973909118;0.008339663230849767;0.7415640778558545
F03;beta;3;bas;False;1926;50;0.07580477673935618;0.083123868791465;-0.0073190920521088235;-1.3661773284739407
F03;beta;3;rap;False;1926;50;0.5441329179646937;0.5368040743801923;0.007328843584501398;0.6695034275899666
F03;beta;9;bas;False;1915;50;0.1608355091383812;0.17729808183945117;-0.01646257270106995;-2.3516542738669575
F03;beta;9;rap;False;1915;50;0.5545691906005222;0.5470686126215052;0.00750057797901703;0.718919725058804
F03;beta;27;bas;False;1894;50;0.32470960929250264;0.34594485250183493;-0.0212352432093323;-2.276425227663393
F03;beta;27;rap;False;1894;50;0.5559662090813094;0.5506597201552701;0.005306488926039273;0.5518711128550865
F03;gamma;1;bas;False;1930;50;0.04145077720207254;0.044720151966391786;-0.0032693747643192535;-0.784966699047778
F03;gamma;1;rap;False;1930;50;0.5414507772020726;0.535711413601026;0.005739363601046559;0.5136010201058921
F03;gamma;3;bas;False;1926;50;0.10384215991692627;0.10566553475853384;-0.0018233748416075627;-0.3068980065877663
F03;gamma;3;rap;False;1926;50;0.5716510903426791;0.5487989535063729;0.022852136836306255;2.124271880368153
F03;gamma;9;bas;False;1915;50;0.21671018276762402;0.22196416549114978;-0.005253982723525769;-0.6743550430364529
F03;gamma;9;rap;False;1915;50;0.577023498694517;0.5600906959897466;0.01693280270477039;1.6789043882079726
F03;gamma;27;bas;False;1894;50;0.4118268215417107;0.43002274571749544;-0.01819592417578472;-1.8554089104276912
F03;gamma;27;rap;False;1894;50;0.5739176346356917;0.560849203434544;0.013068431201147663;1.4439107092539765
F03;delta;1;bas;False;1930;50;0.021243523316062177;0.025470497315794333;-0.004226973999732157;-1.3123922623344622
F03;delta;1;rap;False;1930;50;0.5072538860103627;0.5170478200058057;-0.009793933995442964;-0.8668677605997835
F03;delta;3;bas;False;1926;50;0.052440290758047764;0.05974636192602095;-0.0073060711679731865;-1.5650441819160432
F03;delta;3;rap;False;1926;50;0.5404984423676013;0.5237206186952208;0.016777823672380513;1.5051679912632232
F03;delta;9;bas;False;1915;50;0.11279373368146214;0.12343917203401;-0.010645438352547866;-1.7123636944599918
F03;delta;9;rap;False;1915;50;0.5373368146214099;0.5336235982298704;0.0037132163915395452;0.3363926710071995
F03;delta;27;bas;False;1894;50;0.22650475184794086;0.2326538275888909;-0.0061490757409500075;-0.7689347351762331
F03;delta;27;rap;False;1894;50;0.544350580781415;0.5435322635336539;0.0008183172477611146;0.07812242979816574
F03;epsilon;1;bas;False;1930;50;0.05854922279792746;0.0664304043049792;-0.007881181507051742;-1.618394896893337
F03;epsilon;1;rap;False;1930;50;0.5699481865284974;0.5510300942319696;0.01891809229652781;1.7275362495370794
F03;epsilon;3;bas;False;1926;50;0.1360332294911734;0.1524002539405321;-0.0163670244493587;-2.4350767822062855
F03;epsilon;3;rap;False;1926;50;0.5893042575285566;0.5682051760736879;0.021099081454868693;2.0440296114556027
F03;epsilon;9;bas;False;1915;50;0.2919060052219321;0.3125734615251441;-0.020667456303211946;-2.3262283452955343
F03;epsilon;9;rap;False;1915;50;0.6078328981723238;0.585832159664613;0.022000738507710834;2.4434929172011444
F03;epsilon;27;bas;False;1894;50;0.5570221752903907;0.6083102468409997;-0.05128807155060905;-4.892064358516092
F03;epsilon;27;rap;False;1894;50;0.5982048574445618;0.58467219848291;0.013532658961651787;1.6165261872045156
F04;alpha;1;bas;False;2131;50;0.11825434068512436;0.11623011633352268;0.002024224351601672;0.3146912209613724
F04;alpha;1;rap;False;2131;50;0.4983575786015955;0.5066609669111468;-0.00830338830955133;-0.8008865502381473
F04;alpha;3;bas;False;2129;50;0.271488961953969;0.26382169454799465;0.007667267405974401;0.8867270803947719
F04;alpha;3;rap;False;2129;50;0.4913104744011273;0.493686486601649;-0.002376012200521693;-0.23781414950553226
F04;alpha;9;bas;False;2118;50;0.534466477809254;0.525589846366185;0.008876631443068952;0.8727651790133372
F04;alpha;9;rap;False;2118;50;0.45703493862134087;0.46101720325693324;-0.003982264635592347;-0.44109346691223095
F04;alpha;27;bas;False;2086;50;0.8686481303930969;0.8635620800684485;0.005086050324648341;0.6961789848878989
F04;alpha;27;rap;False;2086;50;0.43384467881112176;0.4497750711711536;-0.015930392360031846;-1.7475356698402293
F04;beta;1;bas;False;2131;50;0.03988737681839512;0.041496789511314094;-0.001609412692918977;-0.416534419252272
F04;beta;1;rap;False;2131;50;0.5077428437353355;0.5166578783917078;-0.008915034656372386;-0.8357241088032235
F04;beta;3;bas;False;2129;50;0.09628933771723815;0.09214625724098043;0.004143080476257719;0.7569701596767676
F04;beta;3;rap;False;2129;50;0.5077501174260216;0.5229689388282553;-0.015218821402233804;-1.4247914076586559
F04;beta;9;bas;False;2118;50;0.1902738432483475;0.1880107678874439;0.0022630753609035738;0.31578041972537374
F04;beta;9;rap;False;2118;50;0.5254957507082153;0.529883259925036;-0.004387509216820664;-0.42829771547770085
F04;beta;27;bas;False;2086;50;0.3480345158197507;0.3545322191752089;-0.006497703355458167;-0.7031092010753506
F04;beta;27;rap;False;2086;50;0.5172579098753596;0.5305982498889567;-0.013340340013597156;-1.388265899676106
F04;gamma;1;bas;False;2131;50;0.044580009385265136;0.04901791378395555;-0.004437904398690404;-1.0701786607459984
F04;gamma;1;rap;False;2131;50;0.5199436884091976;0.5219132993977523;-0.0019696109885547304;-0.18445546604733515
F04;gamma;3;bas;False;2129;50;0.10991075622357914;0.11310977337892385;-0.003199017155344715;-0.5384141674738392
F04;gamma;3;rap;False;2129;50;0.5058713010803194;0.5282003490784128;-0.022329047998093467;-2.111091480556492
F04;gamma;9;bas;False;2118;50;0.23182247403210576;0.23413959599298725;-0.002317121960881487;-0.2946521340198641
F04;gamma;9;rap;False;2118;50;0.5254957507082153;0.530863531678851;-0.0053677809706356786;-0.5436214126367375
F04;gamma;27;bas;False;2086;50;0.45397890699904125;0.4478112863804519;0.006167620618589313;0.6322171602001396
F04;gamma;27;rap;False;2086;50;0.5115052732502396;0.523122261001174;-0.011616987750934265;-1.228004866249854
