segment;pas;c1;c2;cote;delai_meme_cote;delai_cote_oppose
S001;31;alpha;epsilon;-;10.0;14.0
S001;33;alpha;epsilon;+;12.0;8.0
S001;38;alpha;epsilon;-;3.0;7.0
S001;62;alpha;epsilon;+;18.0;120.0
S001;63;alpha;epsilon;-;119.0;17.0
S001;73;alpha;epsilon;+;7.0;109.0
S001;75;alpha;epsilon;-;107.0;5.0
S001;76;alpha;epsilon;+;4.0;106.0
S001;77;alpha;epsilon;-;105.0;3.0
S001;78;alpha;epsilon;+;2.0;104.0
S001;173;alpha;epsilon;-;9.0;54.0
S001;197;alpha;epsilon;+;30.0;40.0
S001;200;alpha;epsilon;-;37.0;27.0
S001;210;alpha;epsilon;+;17.0;27.0
S001;217;alpha;epsilon;-;20.0;10.0
S001;218;alpha;epsilon;+;9.0;19.0
S001;219;alpha;epsilon;-;18.0;8.0
S001;225;alpha;epsilon;+;2.0;12.0
S001;237;alpha;epsilon;-;5.0;3.0
S001;240;alpha;epsilon;+;6.0;2.0
S001;242;alpha;epsilon;-;6.0;4.0
S001;246;alpha;epsilon;+;4.0;2.0
S001;248;alpha;epsilon;-;9.0;2.0
S001;250;alpha;epsilon;+;8.0;7.0
S001;257;alpha;epsilon;-;2.0;1.0
S001;258;alpha;epsilon;+;8.0;1.0
S001;259;alpha;epsilon;-;46.0;7.0
S001;266;alpha;epsilon;+;43.0;39.0
S001;293;alpha;epsilon;-;12.0;16.0
S001;297;alpha;epsilon;+;12.0;8.0
S001;303;alpha;epsilon;-;2.0;6.0
S001;309;alpha;epsilon;+;9.0;7.0
S001;316;alpha;epsilon;-;16.0;2.0
S001;318;alpha;epsilon;+;91.0;14.0
S001;332;alpha;epsilon;-;78.0;77.0
S001;385;alpha;epsilon;+;24.0;25.0
S001;387;alpha;epsilon;-;23.0;22.0
S001;394;alpha;epsilon;+;15.0;16.0
S001;395;alpha;epsilon;-;15.0;14.0
S001;403;alpha;epsilon;+;6.0;7.0
S001;407;alpha;epsilon;-;3.0;2.0
S001;408;alpha;epsilon;+;1.0;2.0
S001;422;alpha;epsilon;-;46.0;1.0
S001;423;alpha;epsilon;+;46.0;45.0
S001;452;alpha;epsilon;-;16.0;17.0
S001;459;alpha;epsilon;+;10.0;9.0
S001;460;alpha;epsilon;-;8.0;9.0
S001;462;alpha;epsilon;+;7.0;6.0
S001;465;alpha;epsilon;-;3.0;4.0
S001;471;alpha;epsilon;+;69.0;68.0
S001;509;alpha;epsilon;-;30.0;31.0
S001;510;alpha;epsilon;+;30.0;29.0
S001;530;alpha;epsilon;-;9.0;10.0
S001;534;alpha;epsilon;+;6.0;5.0
S001;535;alpha;epsilon;-;4.0;5.0
S001;544;alpha;epsilon;+;23.0;21.0
S001;551;alpha;epsilon;-;14.0;16.0
S001;554;alpha;epsilon;+;13.0;11.0
S001;555;alpha;epsilon;-;10.0;12.0
