capteur;horizon;partie;classe_z;n;variation_moy_vol60;P_hausse
alpha;9;A1;-inf..-1.5;234;-0.08918084242353014;0.5470085470085471
alpha;9;A1;-1.5..-1;2741;0.08708853927220332;0.5173294418095585
alpha;9;A1;-1..-0.5;10003;-0.04461020660467965;0.49155253423972806
alpha;9;A1;-0.5..0;10609;-0.07513832920574438;0.48138373079460833
alpha;9;A1;0..0.5;10515;-0.01934444835942414;0.49110794103661437
alpha;9;A1;0.5..1;8815;-0.04404727632314743;0.46670448099829837
alpha;9;A1;1..1.5;2359;-0.14376684706306536;0.44679949130987706
alpha;9;A1;1.5..inf;273;-0.04832629220077862;0.4652014652014652
alpha;9;A2;-inf..-1.5;91;-0.17766460535694695;0.43956043956043955
alpha;9;A2;-1.5..-1;1092;-0.05617046271707647;0.489010989010989
alpha;9;A2;-1..-0.5;3972;0.09535634246846794;0.5090634441087614
alpha;9;A2;-0.5..0;4319;0.1286139401247631;0.5239638805279
alpha;9;A2;0..0.5;4541;0.13259224499548572;0.5155252147104162
alpha;9;A2;0.5..1;4388;0.10657821052367587;0.5011394712853237
alpha;9;A2;1..1.5;1208;0.19936972499286187;0.5289735099337748
alpha;9;A2;1.5..inf;110;1.315106507420361;0.6363636363636364
epsilon;18;A1;-inf..-1.5;348;-0.035354821860587464;0.5172413793103449
epsilon;18;A1;-1.5..-1;2928;-0.1388174428035615;0.49760928961748635
epsilon;18;A1;-1..-0.5;9796;-0.16106649854566316;0.48570845242956306
epsilon;18;A1;-0.5..0;10755;-0.062062905476409226;0.48693630869363086
epsilon;18;A1;0..0.5;10160;-0.023547532321484106;0.46958661417322833
epsilon;18;A1;0.5..1;8596;-0.09785693819964876;0.47347603536528615
epsilon;18;A1;1..1.5;2283;-0.12470732662735516;0.4489706526500219
epsilon;18;A1;1.5..inf;368;-0.25909849494501774;0.41847826086956524
epsilon;18;A2;-inf..-1.5;102;1.3451646042251535;0.5588235294117647
epsilon;18;A2;-1.5..-1;1163;0.43642547687295213;0.5434221840068788
epsilon;18;A2;-1..-0.5;3704;0.10693235814466442;0.5237580993520519
epsilon;18;A2;-0.5..0;4153;0.09694522542173975;0.5160125210691067
epsilon;18;A2;0..0.5;4636;0.2543103979141592;0.5179033649698016
epsilon;18;A2;0.5..1;4313;0.25204025345148967;0.5163459309065616
epsilon;18;A2;1..1.5;1341;0.620341135450416;0.540641312453393
epsilon;18;A2;1.5..inf;174;1.148888128737477;0.5057471264367817
gamma;36;A1;-inf..-1.5;552;-0.3012474497277724;0.5507246376811594
gamma;36;A1;-1.5..-1;3078;-0.31162329758676205;0.5035737491877843
gamma;36;A1;-1..-0.5;9526;-0.2945944989401664;0.47333613268948144
gamma;36;A1;-0.5..0;10743;-0.3152631258502367;0.46011356231965
gamma;36;A1;0..0.5;9771;-0.07539670066521026;0.4804011871865725
gamma;36;A1;0.5..1;8103;0.04270131604672759;0.4655066024929039
gamma;36;A1;1..1.5;2390;-0.15833224453271363;0.4866108786610879
gamma;36;A1;1.5..inf;441;-0.8368477754225421;0.4512471655328798
gamma;36;A2;-inf..-1.5;149;2.339260733807037;0.6711409395973155
gamma;36;A2;-1.5..-1;1156;-0.049814306349460824;0.4982698961937716
gamma;36;A2;-1..-0.5;3331;0.3977189474789004;0.5406784749324527
gamma;36;A2;-0.5..0;4209;0.2741770675594185;0.49869327631266336
gamma;36;A2;0..0.5;4366;0.6908517229511388;0.5666513971598718
gamma;36;A2;0.5..1;4553;0.4955118470576115;0.5378871074017132
gamma;36;A2;1..1.5;1347;0.7991360331808006;0.5115070527097253
gamma;36;A2;1.5..inf;205;2.955629320801468;0.5463414634146342
beta;54;A1;-inf..-1.5;660;-1.2705139467918407;0.47575757575757577
beta;54;A1;-1.5..-1;2975;-0.7037450784009065;0.48369747899159665
beta;54;A1;-1..-0.5;9660;-0.3815564174416759;0.47846790890269153
beta;54;A1;-0.5..0;10364;-0.34510710615844115;0.47346584330374375
beta;54;A1;0..0.5;9861;-0.31994339032698255;0.4552276645370652
beta;54;A1;0.5..1;7555;-0.051472819064761796;0.46062210456651226
beta;54;A1;1..1.5;2371;0.5424091073941115;0.47785744411640657
beta;54;A1;1.5..inf;528;-0.7211380435454241;0.45075757575757575
beta;54;A2;-inf..-1.5;161;1.306894561945524;0.5590062111801242
beta;54;A2;-1.5..-1;1094;0.7340617132315018;0.5694698354661791
beta;54;A2;-1..-0.5;3285;0.2466785012771792;0.5077625570776255
beta;54;A2;-0.5..0;3956;0.32603692304672544;0.5083417593528817
beta;54;A2;0..0.5;4249;1.3630397389351767;0.5448340786067309
beta;54;A2;0.5..1;4675;0.8536662311564197;0.5555080213903744
beta;54;A2;1..1.5;1415;0.6811923283284964;0.5547703180212014
beta;54;A2;1.5..inf;211;4.319578335633107;0.6540284360189573
delta;141;A1;-inf..-1.5;770;-0.5420887025000874;0.4051948051948052
delta;141;A1;-1.5..-1;2799;-0.4486857244321878;0.48374419435512683
delta;141;A1;-1..-0.5;8408;-1.0040458846333522;0.4475499524262607
delta;141;A1;-0.5..0;9469;0.15771889433457043;0.4897032421586229
delta;141;A1;0..0.5;9256;-1.0464308872818149;0.42124027657735524
delta;141;A1;0.5..1;7211;-1.1409283829246057;0.4153376785466648
delta;141;A1;1..1.5;2324;-0.8168683237338276;0.43029259896729777
delta;141;A1;1.5..inf;692;1.8216593404917483;0.5245664739884393
delta;141;A2;-inf..-1.5;241;4.338066934402313;0.7510373443983402
delta;141;A2;-1.5..-1;677;3.0319964643298625;0.6646971935007385
delta;141;A2;-1..-0.5;2655;0.46576805752623224;0.5126177024482109
delta;141;A2;-0.5..0;3548;1.436993912171769;0.5236753100338218
delta;141;A2;0..0.5;3985;1.8225177636074665;0.5553324968632372
delta;141;A2;0.5..1;4581;3.8105634286482934;0.5509714036236629
delta;141;A2;1..1.5;1759;3.443309733600101;0.6327458783399659
delta;141;A2;1.5..inf;295;2.989348764620591;0.5525423728813559
