segment;pas;succes
S001;60;0
S001;61;0
S001;62;0
S001;63;0
S001;64;0
S001;65;0
S001;66;0
S001;330;0
S001;333;0
S001;706;0
S001;810;1
S001;812;1
S002;60;1
S002;61;1
S002;330;0
S002;333;0
S002;696;0
S002;1049;0
S003;60;1
S003;61;1
S003;62;1
S003;274;0
S003;330;0
S003;864;1
S003;887;0
S003;888;0
S003;889;0
S003;1028;0
S003;1053;0
S003;1054;0
S003;1055;0
S003;1060;0
S003;1080;1
S003;1081;1
S003;1082;1
S003;1083;1
S003;1084;1
S003;1085;1
S003;1086;1
S003;1087;1
S003;1088;1
S003;1089;1
S003;1090;1
S003;1091;1
S003;1092;1
S003;1093;0
S003;1094;0
S003;1095;0
S003;1096;0
S003;1097;0
S003;1098;0
S003;1099;0
S003;1100;0
S003;1101;0
S003;1102;0
S003;1103;1
S003;1104;1
S003;1105;1
S003;1112;1
S003;1113;1
S004;60;1
S004;61;1
S004;62;1
S004;330;0
S004;346;0
S004;810;0
S004;1170;1
S004;1382;1
S004;1383;1
S004;1425;1
S005;127;1
S005;128;1
S005;241;1
S005;294;1
S005;757;0
S005;770;0
S005;771;0
S005;772;0
S005;773;0
S005;774;0
S005;775;0
S005;776;0
S005;777;0
S005;779;0
S005;780;0
S005;783;0
S006;60;0
S006;61;0
S006;62;0
S006;63;0
S006;64;0
S006;66;0
S006;330;0
S006;331;0
S006;546;0
S006;665;0
S006;666;0
S006;667;0
S006;780;0
S006;781;0
S006;791;0
S006;810;0
S006;848;0
S006;1049;0
S007;47;0
S007;60;0
S007;299;0
S007;300;0
S007;301;0
S007;302;0
S007;330;0
S007;331;0
S007;332;0
S007;335;0
S007;681;0
S007;780;0
S007;810;0
S007;811;0
S007;1340;0
S007;1346;0
S007;1354;0
S007;1355;0
S007;1418;1
S007;1419;0
S007;1421;0
S007;1425;0
S007;1426;0
S008;60;1
S008;62;1
S008;63;1
S008;64;1
S008;65;1
S008;85;0
S008;330;0
S008;684;0
S008;685;0
S008;686;0
S008;687;0
S008;688;0
S008;690;0
S008;691;0
S008;692;0
S008;693;0
S008;694;0
S008;695;0
S008;696;0
S008;697;0
S008;708;0
S008;710;0
S008;712;0
S008;745;1
S008;746;0
S008;780;1
S008;781;1
S008;1381;0
S009;60;0
S009;61;0
S009;62;0
S009;218;0
S009;330;0
S009;331;0
S009;332;0
S009;668;0
S009;750;0
S009;753;0
S009;754;0
S009;755;0
S009;756;0
S009;757;0
S009;758;1
S009;759;1
S009;760;1
S009;761;1
S009;762;1
S009;763;1
S009;764;1
S009;765;1
S009;766;1
S009;767;1
S009;768;1
S009;780;1
S009;922;0
S009;1082;0
S010;63;0
S010;330;0
S010;559;1
S010;560;1
S010;777;1
S010;778;1
S010;780;0
S010;781;0
S010;782;0
S010;798;0
S010;799;0
S010;800;0
S010;951;0
S010;1200;0
S010;1231;0
S011;60;1
S011;330;1
S011;331;1
S011;597;0
S011;691;0
S011;780;0
S011;810;0
S011;855;0
S011;856;0
S012;57;1
S012;60;1
S012;62;1
S012;63;1
S012;66;1
S012;67;0
S012;68;0
S012;69;0
S012;70;0
S012;71;0
S012;72;0
S012;74;0
S012;75;0
S012;273;0
S012;330;0
S012;384;1
S012;390;1
S012;391;1
S012;392;1
S012;393;1
S012;394;1
S012;395;0
S012;780;0
S012;849;1
S012;850;1
S012;1049;0
