segment;pas;capteur;succes;attendu
S001;31;alpha;0;0.03917267314321529
S001;33;alpha;0;0.03917267314321529
S001;38;alpha;0;0.008179339594062406
S001;62;alpha;1;0.16335227272727273
S001;63;alpha;0;0.004512635379061372
S001;73;alpha;0;0.454396504642272
S001;75;alpha;1;0.014058679706601468
S001;76;alpha;1;0.06172049888071634
S001;77;alpha;1;0.454396504642272
S001;78;alpha;0;0.06172049888071634
S001;173;alpha;0;0.08973935994721215
S001;197;alpha;0;0.454396504642272
S001;200;alpha;0;0.22510334460729048
S001;210;alpha;0;0.08973935994721215
S001;217;alpha;1;0.28258221680876977
S001;218;alpha;1;0.16335227272727273
S001;219;alpha;0;0.28258221680876977
S001;225;alpha;0;0.22510334460729048
S001;237;alpha;0;0.02786282914880588
S001;240;alpha;0;0.11368277739959155
S001;242;alpha;0;0.012198841110094541
S001;246;alpha;0;0.11368277739959155
S001;248;alpha;0;0.454396504642272
S001;250;alpha;0;0.454396504642272
S001;257;alpha;1;0.08973935994721215
S001;258;alpha;1;0.37459434399629116
S001;259;alpha;0;0.05497957901350927
S001;266;alpha;0;0.28258221680876977
S001;293;alpha;0;0.11368277739959155
S001;297;alpha;0;0.08973935994721215
S001;303;alpha;0;0.22510334460729048
S001;309;alpha;0;0.05497957901350927
S001;316;alpha;0;0.02786282914880588
S001;318;alpha;0;0.37459434399629116
S001;332;alpha;0;0.16335227272727273
S001;385;alpha;0;0.37459434399629116
S001;387;alpha;0;0.37459434399629116
S001;394;alpha;1;0.37459434399629116
S001;395;alpha;0;0.16335227272727273
S001;403;alpha;0;0.08973935994721215
S001;407;alpha;1;0.28258221680876977
S001;408;alpha;0;0.16335227272727273
S001;422;alpha;1;0.454396504642272
S001;423;alpha;0;0.454396504642272
S001;452;alpha;0;0.37459434399629116
S001;459;alpha;1;0.22510334460729048
S001;460;alpha;0;0.454396504642272
S001;462;alpha;0;0.11368277739959155
S001;465;alpha;0;0.37459434399629116
S001;471;alpha;0;0.004512635379061372
S001;509;alpha;1;0.454396504642272
S001;510;alpha;0;0.28258221680876977
S001;530;alpha;0;0.16335227272727273
S001;534;alpha;1;0.454396504642272
S001;535;alpha;0;0.11368277739959155
S001;544;alpha;0;0.11368277739959155
S001;551;alpha;0;0.454396504642272
S001;554;alpha;1;0.06172049888071634
S001;555;alpha;1;0.454396504642272
S001;556;alpha;0;0.37459434399629116
S001;565;alpha;0;0.014058679706601468
S001;567;alpha;1;0.28258221680876977
S001;568;alpha;0;0.37459434399629116
S001;576;alpha;0;0.11368277739959155
S001;580;alpha;1;0.28258221680876977
S001;581;alpha;1;0.454396504642272
S001;582;alpha;0;0.22510334460729048
S001;587;alpha;0;0.08973935994721215
S001;598;alpha;0;0.454396504642272
S001;606;alpha;0;0.16335227272727273
S001;608;alpha;0;0.28258221680876977
S001;616;alpha;0;0.11368277739959155
S001;618;alpha;1;0.37459434399629116
S001;619;alpha;1;0.08973935994721215
S001;620;alpha;1;0.28258221680876977
S001;621;alpha;1;0.28258221680876977
