segment;pas;paire;succes;attendu
S001;31;alpha->epsilon;1;0.8878390734532154
S001;38;alpha->epsilon;1;0.8878390734532154
S001;62;alpha->epsilon;1;0.8264908600539407
S001;73;alpha->epsilon;1;0.7254842615012107
S001;76;alpha->epsilon;1;0.7789125863622709
S001;78;alpha->epsilon;1;0.8264908600539407
S001;173;alpha->epsilon;1;0.8072066522944257
S001;197;alpha->epsilon;0;0.7789125863622709
S001;210;alpha->epsilon;1;0.7789125863622709
S001;218;alpha->epsilon;1;0.8264908600539407
S001;225;alpha->epsilon;1;0.8264908600539407
S001;293;alpha->epsilon;1;0.8072066522944257
S001;303;alpha->epsilon;1;0.8072066522944257
S001;385;alpha->epsilon;1;0.7789125863622709
S001;394;alpha->epsilon;1;0.7254842615012107
S001;403;alpha->epsilon;1;0.8264908600539407
S001;408;alpha->epsilon;1;0.8264908600539407
S001;452;alpha->epsilon;1;0.7378345498783455
S001;460;alpha->epsilon;1;0.7378345498783455
S001;465;alpha->epsilon;1;0.7378345498783455
S001;509;alpha->epsilon;0;0.7378345498783455
S001;530;alpha->epsilon;1;0.848316342292246
S001;535;alpha->epsilon;1;0.8072066522944257
S001;551;alpha->epsilon;1;0.848316342292246
S001;555;alpha->epsilon;1;0.8878390734532154
S001;621;alpha->epsilon;1;0.883030303030303
S001;669;alpha->epsilon;1;0.8878390734532154
S001;676;alpha->epsilon;1;0.883030303030303
S001;686;alpha->epsilon;1;0.883030303030303
S001;725;alpha->epsilon;1;0.8264908600539407
S001;730;alpha->epsilon;1;0.8264908600539407
S001;780;alpha->epsilon;0;0.7378345498783455
S001;788;alpha->epsilon;0;0.8072066522944257
S001;830;alpha->epsilon;1;0.7378345498783455
S001;832;alpha->epsilon;1;0.8072066522944257
S001;922;alpha->epsilon;1;0.7789125863622709
S001;937;alpha->epsilon;1;0.8264908600539407
S001;952;alpha->epsilon;1;0.848316342292246
S001;960;alpha->epsilon;1;0.848316342292246
S001;1016;alpha->epsilon;0;0.7254842615012107
S001;1078;alpha->epsilon;1;0.6683046683046683
S001;1092;alpha->epsilon;1;0.7789125863622709
S001;1110;alpha->epsilon;1;0.8878390734532154
S001;1120;alpha->epsilon;1;0.8072066522944257
S001;1123;alpha->epsilon;1;0.8072066522944257
S001;1126;alpha->epsilon;1;0.8072066522944257
S001;1156;alpha->epsilon;0;0.8264908600539407
S001;1159;alpha->epsilon;0;0.883030303030303
S001;1164;alpha->epsilon;0;0.8264908600539407
S001;1170;alpha->epsilon;0;0.7789125863622709
S001;1173;alpha->epsilon;1;0.7789125863622709
S001;1198;alpha->epsilon;1;0.7254842615012107
S001;1205;alpha->epsilon;0;0.7254842615012107
S001;1208;alpha->epsilon;0;0.7789125863622709
S001;1320;alpha->epsilon;1;0.7789125863622709
S001;1322;alpha->epsilon;1;0.7789125863622709
S001;1355;alpha->epsilon;1;0.883030303030303
S001;1379;alpha->epsilon;0;0.848316342292246
S001;1394;alpha->epsilon;1;0.7378345498783455
S001;1398;alpha->epsilon;1;0.8878390734532154
S001;1402;alpha->epsilon;1;0.848316342292246
S002;1;alpha->epsilon;1;0.8072066522944257
S002;7;alpha->epsilon;1;0.8878390734532154
S002;36;alpha->epsilon;1;0.7789125863622709
S002;79;alpha->epsilon;1;0.7378345498783455
S002;81;alpha->epsilon;1;0.848316342292246
S002;89;alpha->epsilon;1;0.848316342292246
S002;107;alpha->epsilon;0;0.883030303030303
S002;109;alpha->epsilon;0;0.8264908600539407
S002;142;alpha->epsilon;1;0.7254842615012107
