segment;pas;succes;ratio
S001;780;1;1.6936936936936937
S002;780;1;2.074468085106383
S003;780;1;1.625
S004;780;1;2.060810810810811
S005;780;1;1.5546875
S006;780;1;2.2288135593220337
S007;780;1;1.9102564102564104
S008;780;1;8.068807339449542
S009;780;1;3.3105263157894735
S010;780;1;2.5789473684210527
S011;780;1;1.7878787878787878
S012;780;1;2.022727272727273
S013;780;1;3.6587301587301586
S014;780;1;3.3028169014084505
S015;780;0;1.346938775510204
S016;780;1;2.0272727272727273
S017;780;1;2.288135593220339
S018;780;1;2.2311827956989245
S019;780;1;2.2155172413793105
S020;780;1;1.9795918367346939
S021;780;1;1.8611111111111112
S022;780;1;3.0083333333333333
S023;780;1;1.8852459016393444
S024;780;1;3.3278688524590163
S025;780;1;2.7785714285714285
S026;780;1;1.8017241379310345
S027;780;1;2.336734693877551
S028;780;1;2.0090909090909093
S029;780;1;2.975609756097561
S030;780;1;1.96
S031;780;1;2.4716981132075473
S032;780;1;2.227272727272727
S033;780;1;1.813953488372093
S034;780;1;2.9937888198757765
S035;780;1;2.761467889908257
S036;780;1;2.425925925925926
S037;780;1;3.09
S038;780;1;2.108527131782946
S039;780;1;2.807017543859649
S040;780;1;2.74
S041;780;1;2.1842105263157894
S042;780;1;1.9166666666666667
S043;780;1;3.5729166666666665
S044;780;1;2.5762711864406778
S045;780;1;2.019607843137255
S046;780;1;2.1122448979591835
S047;780;1;2.673469387755102
S048;780;1;4.131147540983607
S049;780;1;2.365079365079365
S050;780;1;1.7835820895522387
