segment;pas;succes;observe;surrogat
S001;0;0;67;65.68
S002;0;1;54;65.02
S003;0;0;62;55.62
S004;0;1;86;102.84
S005;0;1;49;64.52
S006;0;1;24;61.26
S007;0;1;65;97.48
S008;0;1;51;72.5
S009;0;1;48;61.94
S010;0;1;73;82.64
S011;0;1;38;72.08
S012;0;1;36;53.88
S013;0;0;65;64.42
S014;0;1;31;81.72
S015;0;1;33;75.08
S016;0;1;54;65.0
S017;0;1;56;86.74
S018;0;1;60;64.24
S019;0;1;58;69.68
S020;0;1;46;55.56
S021;0;1;41;76.9
S022;0;1;39;75.42
S023;0;1;50;67.08
S024;0;1;57;83.86
S025;0;1;43;60.46
S026;0;1;22;57.76
S027;0;1;60;97.7
S028;0;1;64;87.4
S029;0;1;72;99.96
S030;0;1;62;62.4
S031;0;1;33;68.14
S032;0;1;47;77.58
S033;0;1;57;65.34
S034;0;1;65;69.46
S035;0;0;97;85.22
S036;0;1;52;67.36
S037;0;1;28;59.34
S038;0;1;149;187.26
S039;0;1;43;59.38
S040;0;1;81;81.4
S041;0;1;77;91.74
S042;0;1;51;69.6
S043;0;1;50;72.22
S044;0;1;63;81.2
S045;0;1;57;61.02
S046;0;1;40;86.56
S047;0;1;70;98.58
S048;0;1;120;142.76
S049;0;1;51;62.58
S050;0;0;121;99.56
