segment;pas;succes;p_act_ampl;p_ampl_act
S001;0;1;3.70565105826798e-11;0.42295200682083833
S002;0;1;3.242994823674266e-08;0.39829541234710747
S003;0;1;4.0338466790939725e-13;0.33158643253470804
S004;0;1;1.619158992513335e-08;0.29313924527343765
S005;0;1;2.2377979970008612e-08;0.7102880234359802
S006;0;1;3.8234062171912873e-13;0.4513653147490062
S007;0;1;5.729284283566813e-09;0.46677899759413954
S008;0;1;2.799203816565571e-07;0.7134100111556527
S009;0;1;1.0724953477216419e-05;0.17530951055215502
S010;0;1;3.282667514688093e-08;0.8070293159978034
S011;0;1;3.07074649055226e-09;0.15646735755037933
S012;0;1;4.872782342438761e-11;0.29487756985575136
S013;0;1;5.531177405939574e-09;0.5178413592567259
S014;0;1;3.888859604008231e-12;0.5023986574991556
S015;0;1;1.4970936524930302e-13;0.494531480240024
S016;0;1;5.92376698276348e-10;0.3119150447889548
S017;0;1;8.817231404308666e-09;0.09138685919487594
S018;0;1;1.6026085052141777e-09;0.4459164986906552
S019;0;1;5.517963019178761e-10;0.9046370734448546
S020;0;1;9.18949654048482e-17;0.029249241334253148
S021;0;1;5.675860020918141e-14;0.6605140802742895
S022;0;1;2.7055486583005942e-12;0.7865649618399386
S023;0;1;3.3812562042800066e-11;0.11733985516840756
S024;0;1;6.934477756387676e-12;0.1856762090927273
S025;0;1;1.7909082249455385e-09;0.0888359703097386
S026;0;1;1.623186633219233e-11;0.11998285015988631
S027;0;1;3.055052545436249e-10;0.00830568954914541
S028;0;1;1.4607690705407413e-06;0.7446639281972618
S029;0;1;9.124096442392722e-09;0.17725997187479148
S030;0;1;4.968864780630523e-17;0.4937780314299821
S031;0;1;1.9321312312503135e-07;0.27446035510432876
S032;0;1;4.533101783067646e-07;0.33838095322977535
S033;0;1;9.125667630116118e-17;0.4617372303875231
S034;0;1;2.406282800668092e-08;0.016949814280766907
S035;0;1;1.1709444825778525e-11;0.1777379508034526
S036;0;1;1.8012982895375508e-08;0.4447744403988293
S037;0;1;1.9382931352539755e-13;0.8776305013969343
S038;0;1;1.2405080887677976e-06;0.1292087172493035
S039;0;1;5.003208263062722e-07;0.6777041799239063
S040;0;1;1.053100520866675e-12;0.9340462507921247
S041;0;1;5.5069548202013924e-12;0.023727074805279184
S042;0;1;1.3625245733494633e-16;0.6925083246249419
S043;0;1;1.7127951803109417e-17;0.1021243082383274
S044;0;1;1.1195731543991731e-12;0.45829886293979505
S045;0;1;7.124213998308405e-08;0.47131429239041966
S046;0;1;9.806203580690009e-20;0.2931542664739792
S047;0;1;1.7579234487602952e-12;0.47119780111723963
S048;0;1;6.511804509512551e-13;0.8737741539104518
S049;0;1;5.941256264530171e-11;0.9349279224848734
S050;0;1;1.3900417818191188e-09;0.2009570747222047
