segment;pas;appel;succes;attendu
S001;142;F06->alpha;0;0.8729591836734694
S001;144;F06->alpha;0;0.8361522198731501
S001;198;F06->alpha;1;0.9309173272933182
S001;241;F06->alpha;1;0.9309173272933182
S001;329;F06->alpha;1;0.910212474297464
S001;331;F06->alpha;1;0.9469339622641509
S001;338;F06->alpha;0;0.7658536585365854
S001;340;F06->alpha;0;0.7658536585365854
S001;361;F06->alpha;1;0.882808181315644
S001;366;F06->alpha;1;0.882808181315644
S001;381;F06->alpha;1;0.8538095238095238
S001;508;F06->alpha;1;0.9587443946188341
S001;546;F06->alpha;1;0.8910256410256411
S001;641;F06->alpha;1;0.8429319371727748
S001;643;F06->alpha;1;0.8782742681047766
S001;645;F06->alpha;1;0.8514851485148515
S001;666;F06->alpha;1;0.9254345837145471
S001;675;F06->alpha;1;0.8706199460916442
S001;754;F06->alpha;1;0.8292228943694742
S001;756;F06->alpha;1;0.8292228943694742
S001;758;F06->alpha;1;0.8292228943694742
S001;800;F06->alpha;0;0.8292228943694742
S001;802;F06->alpha;0;0.7530186608122942
S001;877;F06->alpha;1;0.7632211538461539
S001;912;F06->alpha;1;0.8155067725361981
S001;934;F06->alpha;1;0.8821292775665399
S001;1019;F06->alpha;1;0.9223826714801444
S001;1095;F06->alpha;1;0.8254237288135593
S001;1097;F06->alpha;1;0.7740076824583867
S001;1099;F06->alpha;1;0.8087748344370861
S001;1101;F06->alpha;1;0.7530186608122942
S001;1119;F06->alpha;1;0.9309173272933182
S001;1153;F06->alpha;1;0.8662116040955632
S001;1163;F06->alpha;1;0.9206081081081081
S001;1195;F06->alpha;1;0.9429280397022333
S001;1224;F06->alpha;0;0.7684491978609626
S001;1349;F06->alpha;1;0.8600405679513184
S001;1369;F06->alpha;1;0.9469339622641509
S001;1399;F06->alpha;1;0.8547008547008547
S001;1406;F06->alpha;1;0.8910256410256411
S001;1408;F06->alpha;1;0.895330112721417
S001;1410;F06->alpha;1;0.8656410256410256
S002;9;F06->alpha;1;0.9254345837145471
S002;11;F06->alpha;1;0.875
S002;21;F06->alpha;1;0.7684491978609626
S002;23;F06->alpha;1;0.7684491978609626
S002;25;F06->alpha;1;0.7684491978609626
S002;27;F06->alpha;1;0.8245518739815317
S002;29;F06->alpha;1;0.8155067725361981
S002;43;F06->alpha;0;0.8958333333333334
S002;56;F06->alpha;1;0.7933884297520661
S002;67;F06->alpha;1;0.9587443946188341
S002;77;F06->alpha;1;0.9015025041736227
S002;94;F06->alpha;1;0.7658536585365854
