bloc;id;description;n;segments;valeur;reference;p;verdict
1;1.1;symbole recalculé depuis les 7 derniers pas;66920;50.0;1.0;1.0;;règle confirmée
1;1.2;symbole toujours < 64 (bit 6 nul);67220;50.0;63.0;127.0;;structure de construction
1;1.1;symbole recalculé depuis les 7 derniers pas;66920;50.0;1.0;1.0;;règle confirmée
1;1.2;symbole toujours < 64 (bit 6 nul);67220;50.0;63.0;127.0;;structure de construction
2;2.1;activité au pas ≡ 0 (mod 60) vs moyenne;1121;50.0;1.5798176233213783;1.0;;fort
2;2.2;amplitude au pas ≡ 0 (mod 60) vs moyenne;1121;;1.4919343584203189;1.0;;fort
2;2.3;autocorrélation lag 1 des variations;67130;50.0;-0.0238901869634063;0.0;;voir valeur
2;2.4;mémoire de |variation| (lag 10);67130;50.0;0.1652365242686931;0.0;;fort
2;2.5;amplitude au pas qui suit la pause;40;40.0;1.0637614208565631;0.8357533211557316;;à creuser
3;03.cont;le symbole prédit cont au pas suivant (corrélation A1/A2 des 64 profils);66830;50.0;-0.0772480110351937;0.0;0.5440422072327554;ne réplique pas
3;03.ampl;le symbole prédit ampl au pas suivant (corrélation A1/A2 des 64 profils);66830;50.0;0.2390567765567765;0.0;0.0571129215990475;ne réplique pas
3;03.act;le symbole prédit act au pas suivant (corrélation A1/A2 des 64 profils);66830;50.0;0.6503229263278915;0.0;6.030563077766778e-09;réplique
4;04.F06.alpha.bas1;appel F06->alpha : bascule en 1 pas;2137;50.0;0.1039;0.0961;0.1810748666234465;rang 13/36
4;04.F06.alpha.rap1;appel F06->alpha : rapprochement en 1 pas;2137;50.0;0.5391;0.5446;0.5902840221047816;rang 24/36
4;04.F06.alpha.bas3;appel F06->alpha : bascule en 3 pas;2135;50.0;0.2276;0.2225;0.509103015945573;rang 23/36
4;04.F06.alpha.rap3;appel F06->alpha : rapprochement en 3 pas;2135;50.0;0.5555;0.5568;0.8880922811220653;rang 32/36
4;04.F06.alpha.bas9;appel F06->alpha : bascule en 9 pas;2126;50.0;0.4906;0.4704;0.0410128523760184;rang 11/36
4;04.F06.alpha.rap9;appel F06->alpha : rapprochement en 9 pas;2126;50.0;0.5536;0.5502;0.688918733688693;rang 31/36
4;04.F06.alpha.bas27;appel F06->alpha : bascule en 27 pas;2091;50.0;0.8637;0.8475;0.0288219536298754;rang 3/36
4;04.F06.alpha.rap27;appel F06->alpha : rapprochement en 27 pas;2091;50.0;0.5328;0.5329;0.9827682801066424;rang 36/36
4;04.F33.epsilon.bas1;appel F33->epsilon : bascule en 1 pas;2180;50.0;0.0638;0.0663;0.5810295747161093;rang 19/36
4;04.F33.epsilon.rap1;appel F33->epsilon : rapprochement en 1 pas;2180;50.0;0.528;0.5379;0.3396165007211618;rang 16/36
4;04.F33.epsilon.bas3;appel F33->epsilon : bascule en 3 pas;2173;50.0;0.1491;0.1563;0.2687541642406061;rang 14/36
4;04.F33.epsilon.rap3;appel F33->epsilon : rapprochement en 3 pas;2173;50.0;0.5509;0.5475;0.7377930564206807;rang 31/36
4;04.F33.epsilon.bas9;appel F33->epsilon : bascule en 9 pas;2164;50.0;0.3369;0.3306;0.4833610079410512;rang 26/36
4;04.F33.epsilon.rap9;appel F33->epsilon : rapprochement en 9 pas;2164;50.0;0.5638;0.5526;0.2239513467943397;rang 11/36
4;04.F33.epsilon.bas27;appel F33->epsilon : bascule en 27 pas;2137;50.0;0.6378;0.6337;0.6708131423003777;rang 29/36
4;04.F33.epsilon.rap27;appel F33->epsilon : rapprochement en 27 pas;2137;50.0;0.5208;0.5303;0.2562612546082798;rang 17/36
4;04.F11.gamma.bas1;appel F11->gamma : bascule en 1 pas;2125;50.0;0.0551;0.0527;0.5965886109608132;rang 22/36
4;04.F11.gamma.rap1;appel F11->gamma : rapprochement en 1 pas;2125;50.0;0.5016;0.5201;0.0849459577861067;rang 5/36
4;04.F11.gamma.bas3;appel F11->gamma : bascule en 3 pas;2124;50.0;0.1328;0.1187;0.0267115795896919;rang 1/36
4;04.F11.gamma.rap3;appel F11->gamma : rapprochement en 3 pas;2124;50.0;0.5137;0.5255;0.2598049818436568;rang 15/36
4;04.F11.gamma.bas9;appel F11->gamma : bascule en 9 pas;2114;50.0;0.2465;0.2415;0.5250138151952171;rang 22/36
4;04.F11.gamma.rap9;appel F11->gamma : rapprochement en 9 pas;2114;50.0;0.5199;0.5281;0.3963854063411466;rang 14/36
4;04.F11.gamma.bas27;appel F11->gamma : bascule en 27 pas;2083;50.0;0.458;0.4524;0.5584197412218108;rang 21/36
4;04.F11.gamma.rap27;appel F11->gamma : rapprochement en 27 pas;2083;50.0;0.5142;0.52;0.5152321367905306;rang 23/36
4;04.F20.beta.bas1;appel F20->beta : bascule en 1 pas;1078;50.0;0.0399;0.038;0.7166044498028377;rang 28/36
4;04.F20.beta.rap1;appel F20->beta : rapprochement en 1 pas;1078;50.0;0.5028;0.521;0.2251934717113013;rang 9/36
4;04.F20.beta.bas3;appel F20->beta : bascule en 3 pas;1074;50.0;0.0903;0.0854;0.5058954028077642;rang 16/36
4;04.F20.beta.rap3;appel F20->beta : rapprochement en 3 pas;1074;50.0;0.5186;0.5319;0.366331602266286;rang 17/36
4;04.F20.beta.bas9;appel F20->beta : bascule en 9 pas;1070;50.0;0.1748;0.1788;0.6730071407105067;rang 28/36
4;04.F20.beta.rap9;appel F20->beta : rapprochement en 9 pas;1070;50.0;0.543;0.5431;0.9947793699447022;rang 36/36
4;04.F20.beta.bas27;appel F20->beta : bascule en 27 pas;1054;50.0;0.3454;0.3496;0.739120239099514;rang 29/36
4;04.F20.beta.rap27;appel F20->beta : rapprochement en 27 pas;1054;50.0;0.5285;0.5464;0.1719614628690815;rang 9/36
4;04.F26.delta.bas1;appel F26->delta : bascule en 1 pas;2311;50.0;0.0199;0.0208;0.7508410460151947;rang 28/36
4;04.F26.delta.rap1;appel F26->delta : rapprochement en 1 pas;2311;50.0;0.5227;0.5189;0.7075738022274318;rang 26/36
