source;famille;capteur;designe;n;segments;obs;ref;z
collage;F01;alpha;False;588;50;0.8979591836734694;0.8720780693813367;2.0960868024770978
collage;F01;epsilon;False;588;50;0.8044217687074829;0.7678352701026889;2.2474741924177204
collage;F01;gamma;False;588;50;0.6904761904761905;0.6380413765584573;2.981544193470503
collage;F01;beta;False;588;50;0.5748299319727891;0.5091315497878492;3.6707988677929326
collage;F01;delta;False;588;50;0.2755102040816326;0.2797031548854552;-0.28738965125568766
collage;F02;alpha;False;603;50;0.8739635157545605;0.8729804265824336;0.0734387918201356
collage;F02;epsilon;False;603;50;0.7877280265339967;0.7648360449671263;1.4079486334047187
collage;F02;gamma;False;603;50;0.6451077943615257;0.6218950438809654;1.2940707685628001
collage;F02;beta;False;603;50;0.5339966832504146;0.49217520297704304;2.3720883364587073
collage;F02;delta;False;603;50;0.3117744610281924;0.2927388625154088;1.2772024651083707
collage;F03;alpha;False;533;50;0.8649155722326454;0.8749572803456485;-0.6849049005292822
collage;F03;epsilon;False;533;50;0.7729831144465291;0.7530718077134876;1.1380387778767307
collage;F03;gamma;False;533;50;0.5966228893058161;0.6072621413010761;-0.5631266562150588
collage;F03;beta;False;533;50;0.5140712945590994;0.49932083181095965;0.7918559641983858
collage;F03;delta;False;533;50;0.2795497185741088;0.2738191580024171;0.38600072624748
collage;F04;alpha;False;592;50;0.875;0.874873497383987;0.00944181648931708
collage;F04;epsilon;False;592;50;0.768581081081081;0.7642026267663914;0.2658029660303263
collage;F04;gamma;False;592;50;0.6638513513513513;0.621115227115764;2.3616811236248356
collage;F04;beta;False;592;50;0.4983108108108108;0.4738460291450295;1.334839622325085
collage;F04;delta;False;592;50;0.3091216216216216;0.2725216705854326;2.4238435106873695
collage;F05;alpha;False;622;50;0.8633440514469454;0.867471963439623;-0.3033320360266287
collage;F05;epsilon;False;622;50;0.7781350482315113;0.7562986479079801;1.3566504797658088
collage;F05;gamma;False;622;50;0.635048231511254;0.6201186500461623;0.8648194237647577
collage;F05;beta;False;622;50;0.5530546623794212;0.5081691895512311;2.603785039297201
collage;F05;delta;False;622;50;0.3247588424437299;0.2936833988222712;2.1199879392702154
collage;F06;alpha;True;608;50;0.8585526315789473;0.8696784609809831;-0.7999107772601269
collage;F06;epsilon;False;608;50;0.7549342105263158;0.7572696805681183;-0.1399573489173794
collage;F06;gamma;False;608;50;0.6118421052631579;0.6125992806094057;-0.04294156704301327
collage;F06;beta;False;608;50;0.5361842105263158;0.5087103153757073;1.5765221299157215
collage;F06;delta;False;608;50;0.3256578947368421;0.3023689580559071;1.5563313032618462
collage;F07;alpha;False;323;50;0.8668730650154799;0.8733090670685738;-0.3427800447841296
collage;F07;epsilon;False;323;50;0.7554179566563467;0.7478346850526106;0.3350075248670681
collage;F07;gamma;False;323;50;0.631578947368421;0.6250893313309656;0.2720878412966806
collage;F07;beta;False;323;50;0.541795665634675;0.5051603247668376;1.4920397215313579
collage;F07;delta;False;323;50;0.3560371517027864;0.3025492802062507;2.6513001316293727
collage;F08;alpha;False;616;50;0.8685064935064936;0.8741833403929798;-0.4208448611334168
collage;F08;epsilon;False;616;50;0.7613636363636364;0.7579686042311418;0.20907569644671053
collage;F08;gamma;False;616;50;0.6152597402597403;0.6143240433220714;0.052331335618337534
collage;F08;beta;False;616;50;0.5292207792207793;0.5001396890154086;1.6836726320537256
collage;F08;delta;False;616;50;0.3068181818181818;0.29063763806164167;1.0766428585421886
collage;F09;alpha;False;584;50;0.8664383561643836;0.870675737040542;-0.3056074824760233
collage;F09;epsilon;False;584;50;0.7722602739726028;0.7556932766867699;1.0120381615610057
collage;F09;gamma;False;584;50;0.613013698630137;0.6158222478123799;-0.15417980515777527
collage;F09;beta;False;584;50;0.5428082191780822;0.5161372088337557;1.433558796456272
collage;F09;delta;False;584;50;0.3253424657534247;0.29472963860509105;1.9826703570230229
collage;F10;alpha;False;272;49;0.9007352941176471;0.8713278821234882;1.6247428451288815
collage;F10;epsilon;False;272;49;0.8235294117647058;0.7559422412302764;3.0274492524376075
collage;F10;gamma;False;272;49;0.6139705882352942;0.6108523395068651;0.1117920679308364
collage;F10;beta;False;272;49;0.5441176470588235;0.5062802638125442;1.3960314099564937
collage;F10;delta;False;272;49;0.2867647058823529;0.27446337659364156;0.6111025608885261
collage;F11;alpha;False;559;50;0.8801431127012522;0.8742315132643688;0.4324897778082688
collage;F11;epsilon;False;559;50;0.776386404293381;0.758599651447849;1.022758189573158
collage;F11;gamma;True;559;50;0.6583184257602862;0.6263517691106079;1.7715387950591928
collage;F11;beta;False;559;50;0.556350626118068;0.506283800185345;2.776228885929147
collage;F11;delta;False;559;50;0.3112701252236136;0.29940845934524757;0.734217400870786
collage;F12;alpha;False;296;50;0.8412162162162162;0.8695630532812428;-1.3665557262505486
collage;F12;epsilon;False;296;50;0.7635135135135135;0.7673048658544196;-0.16006652537420327
collage;F12;gamma;False;296;50;0.6216216216216216;0.619235656795984;0.09334864743775367
collage;F12;beta;False;296;50;0.5675675675675675;0.5194507251642013;1.800061495605445
collage;F12;delta;False;296;50;0.27702702702702703;0.27010365138890124;0.33563240269311917
collage;F13;alpha;False;579;50;0.8618307426597582;0.8708112515040592;-0.6432927679685018
collage;F13;epsilon;False;579;50;0.7841105354058722;0.7542246554209314;1.885816178399863
collage;F13;gamma;False;579;50;0.6424870466321243;0.6107434817727384;1.732083632616924
collage;F13;beta;False;579;50;0.5509499136442142;0.5118407912407723;2.1631056882072865
collage;F13;delta;False;579;50;0.31088082901554404;0.2928884660144476;1.1970153465066262
collage;F14;alpha;False;598;50;0.8561872909698997;0.8716436442767552;-1.0826663039880107
collage;F14;epsilon;False;598;50;0.7525083612040134;0.7556463203268301;-0.18505195516182002
collage;F14;gamma;False;598;50;0.6538461538461539;0.6219736102541397;1.8383174571994494
collage;F14;beta;False;598;50;0.5234113712374582;0.49917034681992917;1.3951872412736193
collage;F14;delta;False;598;50;0.30434782608695654;0.2994740523496836;0.3234970162213812
collage;F15;alpha;False;597;50;0.8525963149078727;0.8706993813228637;-1.276101113685806
collage;F15;epsilon;False;597;50;0.7571189279731994;0.7605854294956754;-0.20502142387155867
collage;F15;gamma;False;597;50;0.6231155778894473;0.641987199132913;-1.0356087186173382
collage;F15;beta;False;597;50;0.5360134003350083;0.5257353086038187;0.5769251803255222
collage;F15;delta;False;597;50;0.288107202680067;0.2945129865524037;-0.39866571117629074
collage;F16;alpha;False;272;50;0.8455882352941176;0.8738781353987166;-1.3092051048139537
collage;F16;epsilon;False;272;50;0.7757352941176471;0.7555947981975364;0.8287334351809749
collage;F16;gamma;False;272;50;0.6507352941176471;0.6245836663069874;0.9814002488113946
collage;F16;beta;False;272;50;0.5551470588235294;0.5094218442454076;1.7259371284433547
collage;F16;delta;False;272;50;0.3161764705882353;0.2961370205356;0.9122657758877005
collage;F17;alpha;False;606;50;0.8762376237623762;0.8719669324506514;0.32178268500968593
collage;F17;epsilon;False;606;50;0.7722772277227723;0.7607593015655879;0.7057838982719578
collage;F17;gamma;False;606;50;0.6402640264026402;0.6225282658388295;0.9820364122001063
collage;F17;beta;False;606;50;0.5495049504950495;0.5096926765160721;2.2399932407600414
collage;F17;delta;False;606;50;0.31353135313531355;0.3015062466576683;0.8385037942014615
collage;F18;alpha;False;598;50;0.8444816053511706;0.8699622872331302;-1.7512165027578122
collage;F18;epsilon;False;598;50;0.7107023411371237;0.7532850900256446;-2.4108747368009396
collage;F18;gamma;False;598;50;0.596989966555184;0.6030637702236844;-0.3301994642675683
collage;F18;beta;False;598;50;0.5083612040133779;0.4899549287649291;0.9929028523414671
collage;F18;delta;False;598;50;0.3494983277591973;0.31782805030458805;2.0560751711303435
collage;F19;alpha;False;620;50;0.8612903225806452;0.8718545233092725;-0.7688671137109456
collage;F19;epsilon;False;620;50;0.7709677419354839;0.7531533035479662;1.0990868165071037
collage;F19;gamma;False;620;50;0.65;0.6234229519148686;1.5322545785543127
collage;F19;beta;False;620;50;0.532258064516129;0.5039040068743981;1.6169798695381026
collage;F19;delta;False;620;50;0.3096774193548387;0.2821375841272025;1.7834330964896863
collage;F20;alpha;False;287;49;0.8710801393728222;0.8730019929419892;-0.09987090872894694
collage;F20;epsilon;False;287;49;0.7700348432055749;0.762609613409016;0.3058113631062178
collage;F20;gamma;False;287;49;0.6341463414634146;0.6277693607918148;0.24552062172107725
collage;F20;beta;True;287;49;0.5574912891986062;0.5028054143573955;2.1382052304135657
collage;F20;delta;False;287;49;0.32752613240418116;0.3049985246033523;1.0712351652216867
collage;F21;alpha;False;603;50;0.8424543946932007;0.8751259770425042;-2.220539570052195
collage;F21;epsilon;False;603;50;0.7611940298507462;0.7552496524702861;0.35759369838281024
collage;F21;gamma;False;603;50;0.6351575456053068;0.6240801688461967;0.6201887062594253
collage;F21;beta;False;603;50;0.5439469320066335;0.5169769230246634;1.5301058220939643
collage;F21;delta;False;603;50;0.3283582089552239;0.29870684414459325;1.9711785289700732
collage;F22;alpha;False;596;50;0.8674496644295302;0.8754163568753588;-0.5765183697245827
collage;F22;epsilon;False;596;50;0.761744966442953;0.7556059924400428;0.370220418639565
collage;F22;gamma;False;596;50;0.6342281879194631;0.6139753740295406;1.1135629230056516
collage;F22;beta;False;596;50;0.5285234899328859;0.5006640229117244;1.5391183358596077
collage;F22;delta;False;596;50;0.3053691275167785;0.2850827672441995;1.350882107070084
collage;F23;alpha;False;566;50;0.8604240282685512;0.8737337592577883;-0.9336552624388084
collage;F23;epsilon;False;566;50;0.7526501766784452;0.755327896979402;-0.15523694455760972
collage;F23;gamma;False;566;50;0.6183745583038869;0.6045178278770459;0.7623633538122467
collage;F23;beta;False;566;50;0.5247349823321554;0.49692313955742345;1.4783152326321614
collage;F23;delta;False;566;50;0.30918727915194344;0.3006292358608257;0.5517453100392238
collage;F24;alpha;False;588;50;0.8724489795918368;0.8716452870976527;0.059218755519509544
collage;F24;epsilon;False;588;50;0.7465986394557823;0.752013660401375;-0.31044681216678127
collage;F24;gamma;False;588;50;0.685374149659864;0.6318099139646906;2.9978620438038646
collage;F24;beta;False;588;50;0.5612244897959183;0.5145647656328418;2.556660931712528
collage;F24;delta;False;588;50;0.3299319727891156;0.27506817458320343;3.8041221863915426
collage;F25;alpha;False;310;50;0.8451612903225807;0.8604338111331847;-0.7490175603933868
collage;F25;epsilon;False;310;50;0.7322580645161291;0.7361232759254815;-0.16049483947912985
collage;F25;gamma;False;310;50;0.635483870967742;0.62288298802426;0.508583100927623
collage;F25;beta;False;310;50;0.5225806451612903;0.5187244676459105;0.1556130606140954
collage;F25;delta;False;310;50;0.33225806451612905;0.32815219857397404;0.19196476997987524
collage;F26;alpha;False;594;50;0.8417508417508418;0.8746873203650746;-2.233459022890077
collage;F26;epsilon;False;594;50;0.7424242424242424;0.7595518270603577;-0.9833211529449464
collage;F26;gamma;False;594;50;0.6582491582491582;0.6202994323440646;2.0247110345321055
collage;F26;beta;False;594;50;0.5505050505050505;0.5071403135254224;2.321893682185199
collage;F26;delta;True;594;50;0.3047138047138047;0.2868686352970098;1.2138584332696805
collage;F27;alpha;False;578;50;0.8910034602076125;0.8737059988486997;1.3477854610704152
