symbole;famille;appel;n_A1;cont_A1;ampl_A1;act_A1;n_A2;cont_A2;ampl_A2;act_A2;dev_A1;dev_A2
0;F32;;555;0.47387387387387386;1.1280527967028042;1.1150375939849624;282;0.49645390070921985;1.0820382580687515;1.1047149122807018;-0.009713527768457964;0.006583179029096997
1;F01;;623;0.4654895666131621;1.0786625943208539;1.03954802259887;315;0.4507936507936508;1.0061460720233193;1.0192307692307692;-0.01809783502916973;-0.039077070886472054
2;F02;;649;0.4745762711864407;1.0373994073968107;1.0212765957446808;324;0.5277777777777778;0.9879061115160616;1.0126582278481013;-0.009011130455891136;0.037907056097654934
3;F18;;644;0.4906832298136646;1.0161703497607222;1.0;289;0.4982698961937716;0.9471559970852794;0.9720279720279721;0.007095828171332752;0.008399174513648744
4;F03;;647;0.45904173106646057;1.009430609555682;1.0;315;0.5174603174603175;1.0523593275530234;1.017125292740047;-0.02454567057587126;0.027589595780194653
5;F35;;761;0.46254927726675427;1.01278891443562;0.9734513274336283;324;0.49382716049382713;0.9982233718964932;0.9620143884892086;-0.02103812437557756;0.003956438813704277
6;F17;;687;0.48326055312954874;0.9817583429065702;0.9887002042900919;299;0.4983277591973244;0.9745057056235416;0.9777337951509153;-0.00032684851278308447;0.00845703751720156
7;F27;;638;0.48746081504702193;0.987496740850835;0.9811051693404634;288;0.4895833333333333;1.0352226037809364;1.0144927536231885;0.003873413404690107;-0.00028738834678954106
8;F16;;666;0.46096096096096095;0.9967241020429223;1.0;337;0.4896142433234421;0.9952210016320613;1.0;-0.022626440681370874;-0.0002564783566807449
9;F31;;738;0.46070460704607047;0.968521451914657;0.9675964765100671;297;0.5016835016835017;0.9821896063667891;1.0;-0.022882794596261358;0.011812780003378875
10;F28;;752;0.49069148936170215;1.0034096555142042;0.9833333333333333;345;0.4811594202898551;0.9620415913913475;0.9642857142857143;0.007104087719370322;-0.008711301390267767
11;F05;;762;0.5170603674540682;0.9930615954267397;0.96;334;0.47904191616766467;0.9344057089705775;0.9737827715355806;0.03347296581173642;-0.010828805512458184
12;F15;;652;0.50920245398773;1.0158532256997568;0.9793103448275862;284;0.4788732394366197;1.035056893838623;1.0475225225225224;0.02561505234539818;-0.010997482243503165
13;F09;;742;0.477088948787062;0.986905214783991;0.9603889411659273;311;0.5241157556270096;0.9893956856930317;0.9272727272727272;-0.006498452855269843;0.03424503394688677
14;F21;;707;0.4893917963224894;0.9932582977923523;0.9631328576282705;274;0.5364963503649635;1.009798723736345;0.9635167464114833;0.005804394680157587;0.0466256286848406
15;F27;;646;0.4504643962848297;1.0176485924874674;1.0;282;0.5035460992907801;0.9720996491631797;0.9702127659574468;-0.03312300535750212;0.013675377610657236
16;F03;;640;0.5015625;1.035748547219216;1.0;328;0.5152439024390244;0.9917170604605461;0.9666295884315907;0.017975098357668196;0.025373180758901548
17;F06;alpha;726;0.47796143250688705;0.9819906418612424;0.98;331;0.5075528700906344;1.0049890260406689;0.9773038711887633;-0.005625969135444775;0.017682148410511578
18;F33;epsilon;754;0.4880636604774536;0.9749104327937488;0.9504950495049505;345;0.43478260869565216;0.9829399875097307;0.9454333545242636;0.00447625883512176;-0.055088112984470694
19;F11;gamma;757;0.48877146631439894;0.9800100642018477;0.9613733905579399;303;0.48514851485148514;0.9852527726867751;0.9719626168224299;0.005184064672067112;-0.0047222068286377206
20;F20;beta;752;0.4773936170212766;1.0070025469477528;0.9479110146500271;325;0.5292307692307693;0.9520958549570442;0.9813793103448276;-0.006193784621055243;0.039360047550646426
21;F26;delta;812;0.4839901477832512;0.9812410521497148;0.9655172413793104;343;0.5043731778425656;0.9105784328422928;0.9444444444444444;0.00040274614091939664;0.014502456162442778
22;F08;;783;0.4904214559386973;0.9782742807718806;0.96;349;0.5128939828080229;0.925964111857013;0.9292929292929293;0.006834054296365466;0.02302326112790004
23;F05;;801;0.47191011235955055;0.9457400763584662;0.9529346622369879;304;0.5164473684210527;1.0298180858217554;0.9658119658119658;-0.011677289282781278;0.0265766467409298
24;F15;;655;0.4778625954198473;0.9674532444122423;0.9519969278033794;293;0.48464163822525597;1.0398187506586665;0.9906542056074766;-0.005724806222484502;-0.00522908345486689
25;F24;;700;0.48;0.9804292803025715;0.9411764705882353;292;0.4931506849315068;0.9851527541180786;0.96;-0.0035874016423318444;0.003279963251383966
26;F23;;818;0.4767726161369193;0.9611190491784836;0.9464285714285714;296;0.47635135135135137;0.9963385654856749;0.9530810134501095;-0.006814785505412535;-0.013519370328771485
27;F11;gamma;744;0.47446236559139787;0.9613577110001114;0.9316239316239316;320;0.53125;0.972915022426051;0.9642401021711366;-0.009125036050933955;0.041379278319877144
28;F07;;670;0.5104477611940299;0.9482614963389371;0.9339563862928348;257;0.45525291828793774;0.9481318348501764;0.9581953642384107;0.026860359551698076;-0.03461780339218512
29;F04;;745;0.48590604026845635;0.9358732621064323;0.924575708732341;329;0.47720364741641336;0.979372512421516;0.9522727272727273;0.002318638626124525;-0.012667074263709499
30;F36;;710;0.48732394366197185;0.9776800220528483;0.9387755102040817;278;0.5575539568345323;0.9866473118147739;0.9541284403669725;0.003736542019640021;0.0676832351544095
31;F18;;621;0.48148148148148145;0.9836106666256411;0.9508196721311475;293;0.4334470989761092;1.0359007213655127;0.9696969696969697;-0.002105920160850372;-0.05642362270401363
32;F02;;671;0.4366616989567809;1.0404222360163857;1.014895656662488;322;0.4968944099378882;0.938990020528319;0.9549138804457953;-0.04692570268555091;0.007023688257765337
33;F30;;730;0.473972602739726;0.9762362420581507;0.9371428571428572;334;0.5;0.904990285254784;0.9245014245014245;-0.009614798902605803;0.010129278319877144
34;F10;;764;0.4790575916230366;0.9832378128619279;0.9648432135500115;348;0.47413793103448276;0.9703387653146306;0.9487179487179487;-0.0045298100192951996;-0.015732790645640093
35;F04;;748;0.4786096256684492;0.9857537061202325;0.9428519593613933;306;0.5392156862745098;0.9478129256849646;0.9531347962382446;-0.004977775973882603;0.04934496459438692
36;F33;epsilon;727;0.4786795048143054;0.9803314544251518;0.950657360818049;352;0.48863636363636365;0.9702108039935047;0.9603921568627451;-0.004907896828026448;-0.0012343580437592094
37;F19;;816;0.4987745098039216;0.9511298993615487;0.931928508384819;342;0.5087719298245614;1.000799299675574;0.9479699248120301;0.015187108161589746;0.018901208144438575
38;F22;;824;0.49271844660194175;0.9345306768876845;0.9345794392523364;314;0.4840764331210191;0.9829818914353993;0.963855421686747;0.009131044959609924;-0.005794288559103744
39;F09;;740;0.47297297297297297;0.9411541235976568;0.9411764705882353;309;0.4854368932038835;0.9535708272531612;0.9484536082474226;-0.010614428669358855;-0.004433828476239354
40;F28;;745;0.48322147651006714;0.9767014960089679;0.9316625155666252;349;0.4699140401146132;0.9328513318649564;0.9384615384615385;-0.00036592513226468837;-0.01995668156550967
41;F14;;818;0.4792176039119804;0.9403474755078979;0.918918918918919;320;0.5;0.9401579952245748;0.9408730158730159;-0.004369797730351399;0.010129278319877144
42;F29;;842;0.5118764845605701;0.9592532303271178;0.9135802469135802;355;0.523943661971831;0.908065092956889;0.9455943228858663;0.028289082918238284;0.0340729402917081
43;F26;delta;812;0.46921182266009853;0.9720215282653843;0.9290802430337314;344;0.45930232558139533;0.9706156944333165;0.9545454545454546;-0.014375578982233295;-0.030568396098727524
44;F23;;812;0.4802955665024631;0.947480066099088;0.9361702127659575;322;0.5403726708074534;0.9702278872865052;0.9666666666666667;-0.0032918351398687484;0.05050194912733058
45;F19;;787;0.49809402795425667;0.9405952532431852;0.9194594594594595;348;0.5028735632183908;0.9218163384909499;0.9393939393939394;0.014506626311924842;0.013002841538267973
46;F13;;789;0.5107731305449936;0.9601082315945813;0.9346666666666668;324;0.4567901234567901;0.8852995868945402;0.9148936170212766;0.0271857289026618;-0.03308059822333276
47;F35;;761;0.5243101182654402;0.9586931604883041;0.9462915601023018;328;0.4695121951219512;0.9509299883421692;0.9506778353356111;0.040722716623108335;-0.020358526558171663
48;F17;;686;0.4402332361516035;0.9658988088115212;0.9629629629629629;290;0.46206896551724136;1.0090276569043917;0.9881763805814439;-0.04335416549072835;-0.027801756162881497
49;F34;;711;0.49929676511954996;0.9692784048629992;0.9295774647887324;312;0.5128205128205128;0.9417232062319858;0.9132284780791733;0.01570936347721813;0.02294979114038992
50;F22;;819;0.4700854700854701;0.9388136397138354;0.924871441113759;305;0.5147540983606558;0.99713541369867;0.9395017793594306;-0.013501931556861746;0.02488337668053292
51;F24;;707;0.44695898161244696;0.9655300896361916;0.9367088607594937;300;0.45;0.9999700115971298;0.944;-0.03662842002988487;-0.039870721680122845
52;F08;;821;0.5188794153471377;0.9483752376086514;0.9251101321585903;316;0.4778481012658228;1.0108245496069568;0.9617818889970788;0.035292013704805836;-0.012022620414300078
